# 공항철도 환승 문 위치
#
# 출처와 라이선스. 파서가 이 키들을 읽어 화면에 그대로 띄운다. CC BY 조건이라 뺄 수 없다.
# source-document: 수도권 전철 환승 정보
# source-revision: r697
# source-url: https://namu.wiki/w/수도권 전철 환승 정보
# license: CC BY-NC-SA 2.0 KR
# license-url: https://creativecommons.org/licenses/by-nc-sa/2.0/kr/
#
# 이 디렉토리의 파일만 위 라이선스를 따른다. 저장소의 코드에는 적용되지 않는다
# (DESIGN.md 2.3.2).
#
# 컬럼
#   역           : 이 노선의 역명
#   열차방면     : 지금 타고 있는 열차가 가는 쪽. 비면 방향과 무관하다.
#   환승노선     : 갈아탈 노선. 여럿이면 슬래시로 잇는다.
#   환승노선방면 : 갈아탄 뒤 갈 쪽. 비면 어느 쪽으로 가든 같은 문이다.
#   칸           : 앞에서부터 센 객차 번호
#   문           : 그 객차에서 앞에서부터 센 출입문 번호
#
# 칸과 문이 둘 다 * 이면 어느 문에서 내려도 된다. 4~7 과 1~4 처럼 물결로 이으면 4-1 부터
# 7-4 까지 이어진 모든 문이다. 같은 승강장 건너편에서 갈아타는 역이 그렇다.
#
# 역은 노선 순서대로 적는다. 그 순서가 그대로 화면 순서가 되고, 어긋나면 기동이 실패한다.
#
# 원문과 다르게 옮긴 것
#   계양역 1-4 에 붙은 원문 각주는 비고 파일에 옮겼다.
역,열차방면,환승노선,환승노선방면,칸,문
서울역,,1호선/4호선/GTX-A/경의중앙선,,5,1
공덕,서울역,5호선/6호선/경의중앙선,,6,1
공덕,인천공항2터미널,5호선/6호선/경의중앙선,,1,4
홍대입구,서울역,2호선/경의중앙선,,5,3
홍대입구,인천공항2터미널,2호선/경의중앙선,,2,2
디지털미디어시티,서울역,6호선/경의중앙선,,2,4
디지털미디어시티,인천공항2터미널,6호선/경의중앙선,,6,4
마곡나루,서울역,9호선,,2,1
마곡나루,인천공항2터미널,9호선,,6,3
김포공항,서울역,5호선,하남검단산/마천,6,4
김포공항,서울역,5호선,방화,4,1
김포공항,서울역,9호선,개화,2,2
김포공항,서울역,9호선,중앙보훈병원,*,*
김포공항,서울역,김포 골드라인/서해선,,3,4
김포공항,인천공항2터미널,5호선/김포 골드라인/서해선,,3,4
김포공항,인천공항2터미널,9호선,개화,*,*
김포공항,인천공항2터미널,9호선,중앙보훈병원,6,4
계양,서울역,인천1호선,,5,4
계양,인천공항2터미널,인천1호선,,1,4
검암,서울역,인천2호선,,2,2
검암,인천공항2터미널,인천2호선,,6,4
