# 경의중앙선 환승 문 위치
#
# 출처와 라이선스. 파서가 이 키들을 읽어 화면에 그대로 띄운다. CC BY 조건이라 뺄 수 없다.
# source-document: 수도권 전철 환승 정보/수도권 전철 경의·중앙선
# source-revision: r49
# source-url: https://namu.wiki/w/수도권 전철 환승 정보/수도권 전철 경의·중앙선
# license: CC BY-NC-SA 2.0 KR
# license-url: https://creativecommons.org/licenses/by-nc-sa/2.0/kr/
#
# 이 디렉토리의 파일만 위 라이선스를 따른다. 저장소의 코드에는 적용되지 않는다
# (DESIGN.md 2.3.2).
#
# 이 파일은 경의중앙선, 경의중앙선 (서울역) 뷰가 나눠 쓴다. 뷰마다 자기 목록에 있는 역만 가져간다.
#
# 컬럼
#   역           : 이 노선의 역명
#   열차방면     : 지금 타고 있는 열차가 가는 쪽. 비면 방향과 무관하다.
#   환승노선     : 갈아탈 노선. 여럿이면 슬래시로 잇는다.
#   환승노선방면 : 갈아탄 뒤 갈 쪽. 비면 어느 쪽으로 가든 같은 문이다.
#   칸           : 앞에서부터 센 객차 번호
#   문           : 그 객차에서 앞에서부터 센 출입문 번호
#
# 칸과 문이 둘 다 * 이면 어느 문에서 내려도 된다. 4~7 과 1~4 처럼 물결로 이으면 4-1 부터
# 7-4 까지 이어진 모든 문이다. 같은 승강장 건너편에서 갈아타는 역이 그렇다.
#
# 역은 노선 순서대로 적는다. 그 순서가 그대로 화면 순서가 되고, 어긋나면 기동이 실패한다.
#
# 원문과 다르게 옮긴 것
#   대곡역 문산 방면에서 서해선으로 가는 줄과 능곡역의 두 줄은 원문에 문 번호가 없다.
#   가좌역은 방면이 아니라 출발역으로 적혀 있어 비고 파일에 옮겼다.
#   용산역에서 갈아탈 1호선은 방면이 아니라 운행 종류로 나뉘어 있어 그것을 노선 이름 뒤 괄호에 적었다.
#   원문의 1-1. 5-1 은 쉼표의 오기로 읽었다.
#   왕십리역의 두 번째 표(수인분당선 전용 2층 통로)와 대곡역의 원문 각주는 비고 파일에 옮겼다.
역,열차방면,환승노선,환승노선방면,칸,문
대곡,문산,3호선/GTX-A,,4,2
대곡,서울역/용문,3호선/GTX-A,,4,2
대곡,서울역/용문,서해선,원시,*,*
디지털미디어시티,문산,6호선/공항철도,,8,4
디지털미디어시티,서울역/용문,6호선/공항철도,,1,1
홍대입구,문산,2호선/공항철도,,1,1
홍대입구,용문/지평,2호선/공항철도,,8,4
공덕,문산,5호선/6호선/공항철도,,1,1
공덕,용문/지평,5호선/6호선/공항철도,,8,4
효창공원앞,문산,6호선,,2,3
효창공원앞,용문/지평,6호선,,8,3
용산,문산,1호선 (완행과 천안행 또는 신창행 급행),,1,4
용산,문산,1호선 (완행과 천안행 또는 신창행 급행),,4,4
용산,문산,1호선 (완행과 천안행 또는 신창행 급행),,8,4
용산,문산,1호선 (동인천행 급행과 특급),,*,*
용산,용문/지평,1호선 (완행과 급행),,1,1
용산,용문/지평,1호선 (완행과 급행),,5,1
용산,용문/지평,1호선 (완행과 급행),,8,1
이촌,용문,4호선,,5,2
이촌,문산,4호선,,4,3
옥수,용문,3호선,,4,4
옥수,문산,3호선,,2,4
왕십리,용문,2호선/5호선/수인분당선,,5,1
왕십리,용문,2호선/5호선/수인분당선,,7,2
왕십리,문산,2호선/5호선/수인분당선,,4,4
왕십리,문산,2호선/5호선/수인분당선,,8,3
청량리,용문,1호선/수인분당선/경춘선,,8,4
청량리,문산,1호선/수인분당선/경춘선,,1,1
회기,용문,1호선,,6,2
회기,용문,경춘선,,*,*
회기,문산,1호선,,3,3
회기,문산,경춘선,,*,*
상봉,용문,7호선/경춘선,,6,2
상봉,문산,7호선/경춘선,,4,2
망우,용문,경춘선,,4,4
망우,문산,경춘선,,5,1
구리,용문,8호선,,8,4
구리,문산,8호선,,1,1
서울역,,1호선/4호선/공항철도/GTX-A,,4,4
