# 1호선 환승 문 위치
#
# 출처와 라이선스. 파서가 이 키들을 읽어 화면에 그대로 띄운다. CC BY 조건이라 뺄 수 없다.
# source-document: 수도권 전철 환승 정보/수도권 전철 1호선
# source-revision: r118
# source-url: https://namu.wiki/w/수도권 전철 환승 정보/수도권 전철 1호선
# license: CC BY-NC-SA 2.0 KR
# license-url: https://creativecommons.org/licenses/by-nc-sa/2.0/kr/
#
# 이 디렉토리의 파일만 위 라이선스를 따른다. 저장소의 코드에는 적용되지 않는다
# (DESIGN.md 2.3.2).
#
# 이 파일은 1호선 (경인), 1호선 (경부) 뷰가 나눠 쓴다. 뷰마다 자기 목록에 있는 역만 가져간다.
#
# 컬럼
#   역           : 이 노선의 역명
#   열차방면     : 지금 타고 있는 열차가 가는 쪽. 비면 방향과 무관하다.
#   환승노선     : 갈아탈 노선. 여럿이면 슬래시로 잇는다.
#   환승노선방면 : 갈아탄 뒤 갈 쪽. 비면 어느 쪽으로 가든 같은 문이다.
#   칸           : 앞에서부터 센 객차 번호
#   문           : 그 객차에서 앞에서부터 센 출입문 번호
#
# 칸과 문이 둘 다 * 이면 어느 문에서 내려도 된다. 4~7 과 1~4 처럼 물결로 이으면 4-1 부터
# 7-4 까지 이어진 모든 문이다. 같은 승강장 건너편에서 갈아타는 역이 그렇다.
#
# 역은 노선 순서대로 적는다. 그 순서가 그대로 화면 순서가 되고, 어긋나면 기동이 실패한다.
#
# 원문과 다르게 옮긴 것
#   창동역에서 인천 방면 열차가 4호선 오이도 방면으로 갈아타는 줄은 원문에 출발 방면이 연천으로
#   적혀 있다. 네 줄의 칸 번호가 서로 대칭이라 인천의 오기로 보고 고쳤다.
#   구로역에서 광명셔틀과 동인천 급행으로 갈아타는 두 줄은 출발 방면이 적혀 있지 않아 옮기지 않았다.
#   종로3가역과 서울역의 두 번째 표(출퇴근 혼잡 때 돌아가는 길)는 비고 파일에 옮겼다.
역,열차방면,환승노선,환승노선방면,칸,문
회룡,연천,의정부경전철,,5,3
회룡,인천,의정부경전철,,6,2
도봉산,연천,7호선,,2,1
도봉산,인천,7호선,,9,3
창동,연천,4호선,진접,9,3
창동,연천,4호선,오이도,3,4
창동,인천,4호선,진접,2,2
창동,인천,4호선,오이도,8,1
광운대,연천,경춘선,,1,3
광운대,인천/신창,경춘선,,10,2
석계,연천/광운대,6호선,,10,4
석계,인천/신창,6호선,,1,1
회기,연천/광운대,경의중앙선/경춘선,,4,3
회기,인천/신창,경의중앙선/경춘선,,7,2
청량리,연천/광운대,경의중앙선/경춘선/수인분당선,,1,1
청량리,인천/신창,경의중앙선/경춘선/수인분당선,,10,4
신설동,연천/광운대,2호선 성수지선/우이신설선,,9,4
신설동,인천/신창,2호선 성수지선/우이신설선,,2,1
동묘앞,연천/광운대,6호선,,9,2
동묘앞,인천/신창,6호선,,2,3
동대문,연천/광운대,4호선,,9,3
동대문,인천/신창,4호선,,1,3
종로3가,연천/광운대,3호선/5호선,,6,1
종로3가,인천/신창,3호선,,6,2
종로3가,인천/신창,5호선,,4,2
종로3가,인천/신창,5호선,,7,3
시청,연천/광운대,2호선,,10,4
시청,인천/신창,2호선,,1,1
서울역,연천/광운대,4호선/공항철도/GTX-A,,10,4
서울역,연천/광운대,경의중앙선,,4,3
서울역,인천/신창,4호선/공항철도/GTX-A,,1,2
서울역,인천/신창,경의중앙선,,8,2
용산,연천/광운대,경의중앙선,,10,1
용산,인천/신창,경의중앙선,,1,1
노량진,연천/광운대,9호선,,8,4
노량진,용산 급행,9호선,,5,2
노량진,인천/신창,9호선,,3,1
노량진,동인천 급행,9호선,,6,3
대방,연천/광운대,신림선,,4,3
대방,용산 급행,신림선,,4,2
대방,인천/신창,신림선,,4,1
대방,인천/신창,신림선,,7,3
대방,동인천 급행,신림선,,5,1
신길,연천/광운대,5호선,,9,1
신길,인천/신창,5호선,,2,3
신도림,연천/광운대,2호선,,5,1
신도림,인천/신창,2호선,,2,3
신도림,인천/신창,2호선,,6,2
신도림,용산 특급과 급행,2호선,,8,3
신도림,동인천 특급과 급행,2호선,,3,2
신도림,동인천 특급과 급행,2호선,,6,1
신도림,광명셔틀 영등포,2호선,,4,4
신도림,광명셔틀 광명,2호선,,2,3
신도림,광명셔틀 광명,2호선,,4,4
온수,연천,7호선,,10,4
온수,인천,7호선,,1,1
소사,연천,서해선,,6,2
소사,인천,서해선,,5,3
부평,연천,인천1호선,,9,2
부평,인천,인천1호선,,2,3
주안,연천,인천2호선,,9,4
주안,인천,인천2호선,,1,4
인천,,수인분당선,,4,1
가산디지털단지,청량리/광운대,7호선,,10,3
가산디지털단지,천안/신창,7호선,,1,2
금천구청,천안/신창,1호선 광명셔틀,광명,1~4,1~4
금천구청,청량리/광운대,1호선 광명셔틀,광명,4,4
금천구청,광명셔틀 영등포,1호선,천안/신창,4,4
금천구청,광명셔틀 영등포,1호선,청량리/광운대,*,*
금정,청량리/광운대,4호선,불암산,*,*
금정,청량리/광운대,4호선,오이도,2,3
금정,천안/신창,4호선,불암산,9,2
금정,천안/신창,4호선,오이도,*,*
수원,청량리/광운대,수인분당선,,8,2
수원,천안/신창,수인분당선,,1,3
병점,청량리/광운대,1호선,서동탄/천안/신창,6,1
