# 2호선 환승 문 위치
#
# 출처와 라이선스. 파서가 이 키들을 읽어 화면에 그대로 띄운다. CC BY 조건이라 뺄 수 없다.
# source-document: 수도권 전철 환승 정보/서울 지하철 2호선
# source-revision: r96
# source-url: https://namu.wiki/w/수도권 전철 환승 정보/서울 지하철 2호선
# license: CC BY-NC-SA 2.0 KR
# license-url: https://creativecommons.org/licenses/by-nc-sa/2.0/kr/
#
# 이 디렉토리의 파일만 위 라이선스를 따른다. 저장소의 코드에는 적용되지 않는다
# (DESIGN.md 2.3.2).
#
# 컬럼
#   역           : 이 노선의 역명
#   열차방면     : 지금 타고 있는 열차가 가는 쪽. 비면 방향과 무관하다.
#   환승노선     : 갈아탈 노선. 여럿이면 슬래시로 잇는다.
#   환승노선방면 : 갈아탄 뒤 갈 쪽. 비면 어느 쪽으로 가든 같은 문이다.
#   칸           : 앞에서부터 센 객차 번호
#   문           : 그 객차에서 앞에서부터 센 출입문 번호
#
# 칸과 문이 둘 다 * 이면 어느 문에서 내려도 된다. 4~7 과 1~4 처럼 물결로 이으면 4-1 부터
# 7-4 까지 이어진 모든 문이다. 같은 승강장 건너편에서 갈아타는 역이 그렇다.
#
# 역은 노선 순서대로 적는다. 그 순서가 그대로 화면 순서가 되고, 어긋나면 기동이 실패한다.
역,열차방면,환승노선,환승노선방면,칸,문
시청,내선,1호선,,1,1
시청,외선,1호선,,10,4
을지로3가,내선,3호선,,1,1
을지로3가,외선,3호선,,10,4
을지로4가,내선,5호선,,4,3
을지로4가,외선,5호선,,7,2
동대문역사문화공원,내선,4호선,,9,2
동대문역사문화공원,내선,5호선,,6,2
동대문역사문화공원,내선,5호선,,8,2
동대문역사문화공원,외선,4호선,,2,4
동대문역사문화공원,외선,5호선,,3,3
동대문역사문화공원,외선,5호선,,5,3
신당,내선,6호선,,10,4
신당,외선,6호선,,1,1
왕십리,내선,5호선,,6,1
왕십리,내선,경의중앙선/수인분당선,,3,1
왕십리,외선,5호선,,5,4
왕십리,외선,경의중앙선/수인분당선,,8,2
성수,내선,2호선 성수지선,신설동,10,4
성수,외선,2호선 성수지선,신설동,4~7,1~4
건대입구,내선,7호선,,3,2
건대입구,외선,7호선,,8,3
잠실,내선,8호선,,10,4
잠실,외선,8호선,,1,1
종합운동장,내선,9호선,,9,1
종합운동장,외선,9호선,,3,1
선릉,내선,수인분당선,인천,6,2
선릉,내선,수인분당선,청량리,5,2
선릉,외선,수인분당선,인천,5,2
선릉,외선,수인분당선,청량리,6,3
강남,내선,신분당선,,6,3
강남,외선,신분당선,,5,1
교대,내선,3호선,,1,1
교대,외선,3호선,,10,4
사당,내선,4호선,,6,1
사당,외선,4호선,,5,3
신림,내선,신림선,,6,2
신림,외선,신림선,,5,2
대림,내선,7호선,,2,1
대림,외선,7호선,,9,3
신도림,내선,1호선,,2,3
신도림,내선,2호선 신정지선,까치산,6,2
신도림,외선,1호선,,7,3
신도림,외선,2호선 신정지선,까치산,5,3
영등포구청,내선,5호선,,7,4
영등포구청,외선,5호선,,2,3
당산,내선,9호선,,7,4
당산,외선,9호선,,4,1
합정,내선,6호선,,9,2
합정,외선,6호선,,2,2
홍대입구,내선,경의중앙선/공항철도,,3,3
홍대입구,외선,경의중앙선/공항철도,,8,2
충정로,내선,5호선,,7,3
충정로,외선,5호선,,4,2
