# 3호선 환승 문 위치
#
# 출처와 라이선스. 파서가 이 키들을 읽어 화면에 그대로 띄운다. CC BY 조건이라 뺄 수 없다.
# source-document: 수도권 전철 환승 정보/수도권 전철 3호선
# source-revision: r86
# source-url: https://namu.wiki/w/수도권 전철 환승 정보/수도권 전철 3호선
# license: CC BY-NC-SA 2.0 KR
# license-url: https://creativecommons.org/licenses/by-nc-sa/2.0/kr/
#
# 이 디렉토리의 파일만 위 라이선스를 따른다. 저장소의 코드에는 적용되지 않는다
# (DESIGN.md 2.3.2).
#
# 컬럼
#   역           : 이 노선의 역명
#   열차방면     : 지금 타고 있는 열차가 가는 쪽. 비면 방향과 무관하다.
#   환승노선     : 갈아탈 노선. 여럿이면 슬래시로 잇는다.
#   환승노선방면 : 갈아탄 뒤 갈 쪽. 비면 어느 쪽으로 가든 같은 문이다.
#   칸           : 앞에서부터 센 객차 번호
#   문           : 그 객차에서 앞에서부터 센 출입문 번호
#
# 칸과 문이 둘 다 * 이면 어느 문에서 내려도 된다. 4~7 과 1~4 처럼 물결로 이으면 4-1 부터
# 7-4 까지 이어진 모든 문이다. 같은 승강장 건너편에서 갈아타는 역이 그렇다.
#
# 역은 노선 순서대로 적는다. 그 순서가 그대로 화면 순서가 되고, 어긋나면 기동이 실패한다.
#
# 원문과 다르게 옮긴 것
#   충무로역의 두 번째 표(출퇴근 혼잡 때 돌아가는 길)는 비고 파일에 옮겼다.
역,열차방면,환승노선,환승노선방면,칸,문
대곡,대화,경의중앙선/서해선/GTX-A,,4,1
대곡,대화,경의중앙선/서해선/GTX-A,,9,1
대곡,오금,경의중앙선/서해선/GTX-A,,2,4
대곡,오금,경의중앙선/서해선/GTX-A,,7,4
연신내,대화,6호선/GTX-A,,5,1
연신내,오금,6호선/GTX-A,,6,3
불광,대화,6호선,,1,1
불광,오금,6호선,,10,4
종로3가,대화,1호선,연천/청량리/광운대,9,2
종로3가,대화,1호선,인천/신창/서동탄,10,4
종로3가,대화,5호선,,2,2
종로3가,대화,5호선,,4,3
종로3가,오금,1호선,연천/청량리/광운대,2,3
종로3가,오금,1호선,인천/신창/서동탄,1,1
종로3가,오금,5호선,,7,2
종로3가,오금,5호선,,9,3
을지로3가,대화,2호선,내선,7,1
을지로3가,대화,2호선,외선,2,2
을지로3가,오금,2호선,내선,4,4
을지로3가,오금,2호선,외선,9,3
충무로,대화,4호선,진접/불암산,4,4
충무로,대화,4호선,사당/오이도,4,1
충무로,오금,4호선,진접/불암산,8,1
충무로,오금,4호선,사당/오이도,8,4
약수,대화,6호선,,4,3
약수,오금,6호선,,7,1
옥수,대화,경의중앙선,,9,4
옥수,오금,경의중앙선,,1,4
신사,대화,신분당선,,9,2
신사,오금,신분당선,,2,2
고속터미널,대화,7호선,,9,2
고속터미널,대화,9호선,,2,3
고속터미널,오금,7호선,,2,3
고속터미널,오금,9호선,,9,2
교대,대화,2호선,내선,3,3
교대,대화,2호선,외선,7,4
교대,오금,2호선,내선,8,2
교대,오금,2호선,외선,4,1
양재,대화,신분당선,,5,3
양재,오금,신분당선,,6,1
도곡,대화,수인분당선,,6,3
도곡,오금,수인분당선,,6,2
수서,대화,수인분당선,,3,1
수서,대화,GTX-A,,5,3
수서,대화,GTX-A,,3,1
수서,오금,수인분당선,,8,4
수서,오금,GTX-A,,6,3
수서,오금,GTX-A,,8,4
가락시장,대화,8호선,,9,4
가락시장,오금,8호선,,2,1
오금,,5호선,,9,3
