# 5호선 환승 문 위치
#
# 출처와 라이선스. 파서가 이 키들을 읽어 화면에 그대로 띄운다. CC BY 조건이라 뺄 수 없다.
# source-document: 수도권 전철 환승 정보/수도권 전철 5호선
# source-revision: r63
# source-url: https://namu.wiki/w/수도권 전철 환승 정보/수도권 전철 5호선
# license: CC BY-NC-SA 2.0 KR
# license-url: https://creativecommons.org/licenses/by-nc-sa/2.0/kr/
#
# 이 디렉토리의 파일만 위 라이선스를 따른다. 저장소의 코드에는 적용되지 않는다
# (DESIGN.md 2.3.2).
#
# 이 파일은 5호선 (하남), 5호선 (마천) 뷰가 나눠 쓴다. 뷰마다 자기 목록에 있는 역만 가져간다.
#
# 컬럼
#   역           : 이 노선의 역명
#   열차방면     : 지금 타고 있는 열차가 가는 쪽. 비면 방향과 무관하다.
#   환승노선     : 갈아탈 노선. 여럿이면 슬래시로 잇는다.
#   환승노선방면 : 갈아탄 뒤 갈 쪽. 비면 어느 쪽으로 가든 같은 문이다.
#   칸           : 앞에서부터 센 객차 번호
#   문           : 그 객차에서 앞에서부터 센 출입문 번호
#
# 칸과 문이 둘 다 * 이면 어느 문에서 내려도 된다. 4~7 과 1~4 처럼 물결로 이으면 4-1 부터
# 7-4 까지 이어진 모든 문이다. 같은 승강장 건너편에서 갈아타는 역이 그렇다.
#
# 역은 노선 순서대로 적는다. 그 순서가 그대로 화면 순서가 되고, 어긋나면 기동이 실패한다.
역,열차방면,환승노선,환승노선방면,칸,문
김포공항,하남검단산/마천,9호선/공항철도/김포 골드라인/서해선,,1,4
김포공항,방화,9호선/공항철도/김포 골드라인/서해선,,7,1
까치산,하남검단산/마천,2호선 신정지선,신도림,4,4
까치산,방화,2호선 신정지선,신도림,1,1
영등포구청,하남검단산/마천,2호선,,2,3
영등포구청,방화,2호선,,7,2
신길,하남검단산/마천,1호선,,2,2
신길,방화,1호선,,7,3
여의도,하남검단산/마천,9호선,,4,1
여의도,방화,9호선,,5,4
공덕,하남검단산/마천,6호선/공항철도/경의중앙선,,8,4
공덕,방화,6호선/공항철도/경의중앙선,,1,1
충정로,하남검단산/마천,2호선,,5,3
충정로,방화,2호선,,4,1
종로3가,하남검단산/마천,1호선/3호선,,1,1
종로3가,방화,1호선/3호선,,8,4
을지로4가,하남검단산/마천,2호선,내선,1,1
을지로4가,하남검단산/마천,2호선,외선,1,4
을지로4가,방화,2호선,내선,8,4
을지로4가,방화,2호선,외선,8,1
동대문역사문화공원,하남검단산/마천,2호선/4호선,,1,1
동대문역사문화공원,방화,2호선/4호선,,8,4
청구,하남검단산/마천,6호선,,6,4
청구,방화,6호선,,5,1
왕십리,하남검단산/마천,2호선/경의중앙선/수인분당선,,5,2
왕십리,하남검단산/마천,2호선/경의중앙선/수인분당선,,7,2
왕십리,방화,2호선/경의중앙선/수인분당선,,2,3
왕십리,방화,2호선/경의중앙선/수인분당선,,4,3
군자,하남검단산/마천,7호선,석남,8,4
군자,하남검단산/마천,7호선,장암,1,1
군자,방화,7호선,석남,1,1
군자,방화,7호선,장암,8,4
천호,하남검단산/마천,8호선,모란,8,2
천호,하남검단산/마천,8호선,별내,8,1
천호,방화,8호선,모란,1,2
천호,방화,8호선,별내,1,3
강동,방화,5호선,하남검단산/마천,1,1
강동,방화,5호선,하남검단산/마천,8,4
강동,하남검단산,5호선,마천,*,*
올림픽공원,마천,9호선,,4,4
올림픽공원,방화,9호선,,6,1
오금,마천,3호선,,1,3
오금,방화,3호선,,8,2
