# 6호선 환승 문 위치
#
# 출처와 라이선스. 파서가 이 키들을 읽어 화면에 그대로 띄운다. CC BY 조건이라 뺄 수 없다.
# source-document: 수도권 전철 환승 정보/서울 지하철 6호선
# source-revision: r69
# source-url: https://namu.wiki/w/수도권 전철 환승 정보/서울 지하철 6호선
# license: CC BY-NC-SA 2.0 KR
# license-url: https://creativecommons.org/licenses/by-nc-sa/2.0/kr/
#
# 이 디렉토리의 파일만 위 라이선스를 따른다. 저장소의 코드에는 적용되지 않는다
# (DESIGN.md 2.3.2).
#
# 컬럼
#   역           : 이 노선의 역명
#   열차방면     : 지금 타고 있는 열차가 가는 쪽. 비면 방향과 무관하다.
#   환승노선     : 갈아탈 노선. 여럿이면 슬래시로 잇는다.
#   환승노선방면 : 갈아탄 뒤 갈 쪽. 비면 어느 쪽으로 가든 같은 문이다.
#   칸           : 앞에서부터 센 객차 번호
#   문           : 그 객차에서 앞에서부터 센 출입문 번호
#
# 칸과 문이 둘 다 * 이면 어느 문에서 내려도 된다. 4~7 과 1~4 처럼 물결로 이으면 4-1 부터
# 7-4 까지 이어진 모든 문이다. 같은 승강장 건너편에서 갈아타는 역이 그렇다.
#
# 역은 노선 순서대로 적는다. 그 순서가 그대로 화면 순서가 되고, 어긋나면 기동이 실패한다.
#
# 원문과 다르게 옮긴 것
#   신내역 7-4 에 붙은 원문 각주는 비고 파일에 옮겼다.
역,열차방면,환승노선,환승노선방면,칸,문
불광,,3호선,대화,2,3
불광,,3호선,오금,7,2
연신내,,3호선/GTX-A,,6,2
디지털미디어시티,신내,경의중앙선,,7,2
디지털미디어시티,신내,공항철도,,1,1
디지털미디어시티,응암 순환,경의중앙선,,2,2
디지털미디어시티,응암 순환,공항철도,,8,4
합정,신내,2호선,,6,2
합정,응암 순환,2호선,,3,2
공덕,신내,5호선/경의중앙선/공항철도,,8,4
공덕,응암 순환,5호선/경의중앙선/공항철도,,1,1
효창공원앞,신내,경의중앙선,,3,1
효창공원앞,응암 순환,경의중앙선,,6,4
삼각지,신내,4호선,진접/불암산,3,1
삼각지,신내,4호선,사당/오이도,6,4
삼각지,응암 순환,4호선,진접/불암산,6,4
삼각지,응암 순환,4호선,사당/오이도,3,1
약수,신내,3호선,,1,1
약수,응암 순환,3호선,,8,4
청구,신내,5호선,,6,2
청구,응암 순환,5호선,,6,1
신당,신내,2호선,,8,4
신당,응암 순환,2호선,,1,1
동묘앞,신내,1호선,,2,2
동묘앞,응암 순환,1호선,,7,3
보문,신내,우이신설선,,3,4
보문,응암 순환,우이신설선,,3,4
석계,신내,1호선,,5,2
석계,응암 순환,1호선,,4,3
태릉입구,신내,7호선,,1,1
태릉입구,응암 순환,7호선,,8,4
신내,,경춘선,,7,4
