# 9호선 환승 문 위치
#
# 출처와 라이선스. 파서가 이 키들을 읽어 화면에 그대로 띄운다. CC BY 조건이라 뺄 수 없다.
# source-document: 수도권 전철 환승 정보/서울 지하철 9호선
# source-revision: r75
# source-url: https://namu.wiki/w/수도권 전철 환승 정보/서울 지하철 9호선
# license: CC BY-NC-SA 2.0 KR
# license-url: https://creativecommons.org/licenses/by-nc-sa/2.0/kr/
#
# 이 디렉토리의 파일만 위 라이선스를 따른다. 저장소의 코드에는 적용되지 않는다
# (DESIGN.md 2.3.2).
#
# 컬럼
#   역           : 이 노선의 역명
#   열차방면     : 지금 타고 있는 열차가 가는 쪽. 비면 방향과 무관하다.
#   환승노선     : 갈아탈 노선. 여럿이면 슬래시로 잇는다.
#   환승노선방면 : 갈아탄 뒤 갈 쪽. 비면 어느 쪽으로 가든 같은 문이다.
#   칸           : 앞에서부터 센 객차 번호
#   문           : 그 객차에서 앞에서부터 센 출입문 번호
#
# 역은 노선 순서대로 적는다. 그 순서가 그대로 화면 순서가 되고, 어긋나면 기동이 실패한다.
역,열차방면,환승노선,환승노선방면,칸,문
김포공항,개화,5호선/공항철도,서울역,2,4
김포공항,개화,김포 골드라인/서해선,,6,1
김포공항,중앙보훈병원,5호선,하남검단산/마천,6,4
김포공항,중앙보훈병원,5호선 (방화 방면)/김포 골드라인/서해선,,4,4
김포공항,중앙보훈병원,공항철도,인천공항2터미널,3,1
마곡나루,개화,공항철도,,6,2
마곡나루,중앙보훈병원,공항철도,,1,3
당산,개화,2호선,,1,1
당산,중앙보훈병원,2호선,,4,4
여의도,개화,5호선,,2,4
여의도,중앙보훈병원,5호선,,4,3
샛강,개화,신림선,,1,3
샛강,중앙보훈병원,신림선,,6,2
노량진,개화,1호선,,5,1
노량진,중앙보훈병원,1호선,,2,4
동작,개화,4호선,,6,4
동작,중앙보훈병원,4호선,,1,1
고속터미널,개화,3호선/7호선,,4,1
고속터미널,중앙보훈병원,3호선/7호선,,1,4
신논현,개화,신분당선,,1,1
신논현,중앙보훈병원,신분당선,,6,4
선정릉,개화,수인분당선,,5,4
선정릉,중앙보훈병원,수인분당선,,2,1
종합운동장,개화,2호선,,4,1
종합운동장,중앙보훈병원,2호선,,6,1
석촌,개화,8호선,모란,3,3
석촌,개화,8호선,별내,6,4
석촌,중앙보훈병원,8호선,모란,4,2
석촌,중앙보훈병원,8호선,별내,1,1
올림픽공원,개화,5호선,마천,4,2
올림픽공원,개화,5호선,방화,1,2
올림픽공원,중앙보훈병원,5호선,마천,3,3
올림픽공원,중앙보훈병원,5호선,방화,6,3
