# 수인분당선 환승 문 위치
#
# 출처와 라이선스. 파서가 이 키들을 읽어 화면에 그대로 띄운다. CC BY 조건이라 뺄 수 없다.
# source-document: 수도권 전철 환승 정보/수도권 전철 수인분당선
# source-revision: r41
# source-url: https://namu.wiki/w/수도권 전철 환승 정보/수도권 전철 수인·분당선
# license: CC BY-NC-SA 2.0 KR
# license-url: https://creativecommons.org/licenses/by-nc-sa/2.0/kr/
#
# 이 디렉토리의 파일만 위 라이선스를 따른다. 저장소의 코드에는 적용되지 않는다
# (DESIGN.md 2.3.2).
#
# 컬럼
#   역           : 이 노선의 역명
#   열차방면     : 지금 타고 있는 열차가 가는 쪽. 비면 방향과 무관하다.
#   환승노선     : 갈아탈 노선. 여럿이면 슬래시로 잇는다.
#   환승노선방면 : 갈아탄 뒤 갈 쪽. 비면 어느 쪽으로 가든 같은 문이다.
#   칸           : 앞에서부터 센 객차 번호
#   문           : 그 객차에서 앞에서부터 센 출입문 번호
#
# 역은 노선 순서대로 적는다. 그 순서가 그대로 화면 순서가 되고, 어긋나면 기동이 실패한다.
역,열차방면,환승노선,환승노선방면,칸,문
청량리,,1호선/경의중앙선/경춘선,,6,4
왕십리,인천,2호선/5호선/경의중앙선,,2,4
왕십리,인천,2호선/5호선/경의중앙선,,4,4
왕십리,인천,경의중앙선,,2,1
왕십리,청량리,2호선/5호선/경의중앙선,,1,3
왕십리,청량리,2호선/5호선/경의중앙선,,5,1
왕십리,청량리,경의중앙선,,5,4
강남구청,인천,7호선,,5,3
강남구청,청량리,7호선,,3,1
선정릉,인천,9호선,,4,1
선정릉,청량리,9호선,,5,4
선릉,인천,2호선,내선,2,4
선릉,인천,2호선,외선,1,2
선릉,청량리,2호선,내선,5,1
선릉,청량리,2호선,외선,6,3
도곡,인천,3호선,대화,6,2
도곡,인천,3호선,오금,1,1
도곡,인천,3호선,오금,4,3
도곡,청량리,3호선,대화,1,2
도곡,청량리,3호선,대화,5,1
도곡,청량리,3호선,오금,4,3
수서,인천,3호선,,1,1
수서,인천,GTX-A,,1,1
수서,인천,GTX-A,,3,1
수서,청량리,3호선,,6,1
수서,청량리,GTX-A,,5,4
수서,청량리,GTX-A,,6,4
복정,인천,8호선,,3,3
복정,청량리,8호선,,6,2
모란,인천,8호선,,6,4
모란,청량리,8호선,,1,1
이매,인천,경강선,,1,1
이매,청량리,경강선,,6,4
정자,인천,신분당선,,6,4
정자,청량리,신분당선,,1,1
미금,인천,신분당선,신사,5,1
미금,인천,신분당선,광교,4,1
미금,청량리,신분당선,신사,4,1
미금,청량리,신분당선,광교,3,1
구성,인천,GTX-A,,6,4
구성,청량리,GTX-A,,2,1
기흥,인천,용인경전철,,5,1
기흥,청량리,용인경전철,,4,3
수원,인천,1호선,,4,2
수원,청량리,1호선,,5,2
초지,인천,서해선,,6,4
초지,청량리,서해선,,1,1
오이도,인천,4호선,,3,1
원인재,인천,인천1호선,,5,3
원인재,청량리,인천1호선,,4,3
인천,,1호선,,4,1
